PCB congener,MS Transition,Peak ,RT-Cal,Area_Cal
1,188.0 -> 153.1,1,19.48,453093.51
2,188.0 -> 153.1,2,22.055,351121.47
3,188.0 -> 153.1,3,22.275,396009.74
13C-3,200.1 -> 165.1,1,22.266,287759.36
4,222.0 -> 152.1,1,22.574,469263.04
10,222.0 -> 152.1,2,22.794,797445.68
9,222.0 -> 152.1,3,24.97,768372.88
7,222.0 -> 152.1,4,25.165,833720.12
6,222.0 -> 152.1,5,25.442,800848.16
5,222.0 -> 152.1,6,25.801,807407.83
8,222.0 -> 152.1,7,25.955,805628.06
14,222.0 -> 152.1,8,27.845,748487.65
11,222.0 -> 152.1,9,28.791,722926.12
12+13,222.0 -> 152.1,10,29.157,1564643.35
15,222.0 -> 152.1,11,29.491,829919.51
13C-15,234.0 -> 164.1,1,29.466,604766.47
19,256.0 -> 186.0,1,26.295,280701.41
18+30,256.0 -> 186.0,2,28.43,821724.74
17,256.0 -> 186.0,3,28.911,316955.35
27,256.0 -> 186.0,4,29.147,520799.42
24,256.0 -> 186.0,5,29.31,526428.05
16,256.0 -> 186.0,6,29.416,248811.65
32,256.0 -> 186.0,7,30.002,502890.8
34,256.0 -> 186.0,8,31.396,471502.36
23,256.0 -> 186.0,9,31.567,517440.19
26+29,256.0 -> 186.0,10,31.917,997278.61
25,256.0 -> 186.0,11,32.153,429268.81
31,256.0 -> 186.0,12,32.487,498019.17
20+28,256.0 -> 186.0,13,32.829,1021948.05
21+33,256.0 -> 186.0,14,33.058,915077.43
22,256.0 -> 186.0,15,33.506,500572.74
36,256.0 -> 186.0,16,35.184,482388.16
39,256.0 -> 186.0,17,35.569,495100.55
38,256.0 -> 186.0,18,36.201,535652.48
35,256.0 -> 186.0,19,36.678,428851.9
37,256.0 -> 186.0,20,37.118,460823.87
D-30,261.0 -> 191.1,1,28.323,523595.08
13C 31,268.0 -> 198.1,1,32.469,409152.77
54,291.9 -> 222.0,1,29.812,501345.11
50+53,291.9 -> 222.0,2,32.199,570073.23
45,291.9 -> 222.0,3,32.908,212264.17
51,291.9 -> 222.0,4,33.006,326130.46
46,291.9 -> 222.0,5,33.242,212538.26
52,291.9 -> 222.0,6,34.78,289305.68
73,291.9 -> 222.0,7,34.926,485902.93
43,291.9 -> 222.0,8,35.036,235975.54
49+69,291.9 -> 222.0,9,35.275,672057.26
48,291.9 -> 222.0,10,35.623,319246.86
44+47+65,291.9 -> 222.0,11,35.889,1034645.69
59+62+75,291.9 -> 222.0,12,36.191,1409306.25
42,291.9 -> 222.0,13,36.411,220319.18
41,291.9 -> 222.0,14,36.805,224017.46
40+71,291.9 -> 222.0,15,36.924,679531.8
64,291.9 -> 222.0,16,37.163,384439.61
72,291.9 -> 222.0,17,38.033,444547.01
68,291.9 -> 222.0,18,38.345,481856.48
57,291.9 -> 222.0,19,38.776,427210.73
